sr,dms_code,exam_centre_name,venue_address,pincode,region,state,city,venue_status,blacklist_info,ffa_frequency,deo_remarks_summary,suspicious_summary,call_log_summary,market_remark,final_analysis,reason
4232,WST-MP-2101,CHHINDWARA SVS EDUCATION SOCIETY,"VIVEKANAND COLONY, NAGPUR ROAD,NEAR KAMTHIWALA JWELLERS, CHHINDWARA, MADHYA PRADESH, ,",480001.0,WEST,MADHYA PRADESH,CHHINDWARA,ACTIVE,,0,,,"PC Changed(20), Power Related(54)",Doubtful (Reviews < 10),Average,"PC Changed(20), Power Related(54)"
4233,WST-MP-2102,SATPUDA PVT.ITI CHHINDWARA,"NEAR WARE HOUSE , NEAR PHATAKA FACTORY,SEONI ROAD CHHINDWARA",480001.0,WEST,MADHYA PRADESH,CHHINDWARA,ACTIVE,,0,,,,,Good,Good
4234,WST-MP-2103,UMA ELECTRONICS INSTITUTE,"CHAR PHATAK,PATALESHWAR MANDIR,NEAR RAILWAY STATION ,CHHINDWARA.",480001.0,WEST,MADHYA PRADESH,CHHINDWARA,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
4235,WST-MP-2584,CHHINDWARA SVS EDUCATION,"VIVEKANAND COLONY, NAGPUR ROAD,NEAR KAMTHIWALA JWELLERS, CHHINDWARA, MADHYA PRADESH, ,",480001.0,WEST,MADHYA PRADESH,CHHINDWARA,ACTIVE,,0,,,"PC Changed(3), Power Related(19)",Good (Rating >=4 & Reviews >=10),Average,"PC Changed(3), Power Related(19)"
4236,WST-MP-2858,GOVERNMENT ITI CHHINDWARA,"VIP ROAD ,CHHINDWARA,MADHYA PRADESH,480001
",480001.0,WEST,MADHYA PRADESH,CHHINDWARA,ACTIVE,,0,,,"PC Changed(1), Power Related(1)",,Average,"PC Changed(1), Power Related(1)"
4237,WST-MP-2104,ROYAL INSTITUTE OF PROFESSIONAL STUDIES,"NH-75, NEAR SEWA BHARTI SCHOOL,GWALIOR ROAD , DABRA",475110.0,WEST,MADHYA PRADESH,DABRA,INACTIVE,,0,,,,,Good,Good
4238,WST-MP-2105,OJASWINI INSTITUTE OF MANAGEMENT & TECHNOLOGY,"OJASWINI INSTITUTE OF MANAGEMENT & TECHNOLOGY,SAGAR ROAD DAMOH",470661.0,WEST,MADHYA PRADESH,DAMOH,INACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4239,WST-MP-2393,GOVERNMENT ITI DAMOH,GOVERNMENT ITI IN FRONT OF CICM MARUTAL MP,470661.0,WEST,MADHYA PRADESH,DAMOH,ACTIVE,,0,,,,,Good,Good
4240,WST-MP-2559,EKLAVYA UNIVERISITY,"SAGAR ROAD, DAMOH",470661.0,WEST,MADHYA PRADESH,DAMOH,ACTIVE,,0,,,"PC Changed(10), Power Related(11)",Doubtful (Reviews < 10),Average,"PC Changed(10), Power Related(11)"
4241,WST-MP-2251,SHRI RAWATPURA SARKAR INSTITUTION,JHANSI ROAD N H 44 DATIA,475661.0,WEST,MADHYA PRADESH,DATIA,INACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4242,WST-MP-2535,ABHINAV SHIKSHA NIKETAN HIGHER SECONDARY SCHOOL DATIA,"BHADORIA KI KHIDKI BAHAR , WARD NO. - 32 , DATIA - MADHYA PRADESH",475661.0,WEST,MADHYA PRADESH,DATIA,INACTIVE,,0,,,,,Good,Good
4243,WST-MP-2563,BHARTIYAM VIDHYAPEETH DATIA,"NH-75 GWALIOR JHANSI RD, DATIA, MADHYA PRADESH",475661.0,WEST,MADHYA PRADESH,DATIA,ACTIVE,,0,,,"PC Changed(1), Power Related(31)",,Average,"PC Changed(1), Power Related(31)"
4244,WST-MP-2579,GOVERNMENT ITI DATIA,"GOVERNMENT ITI-DATIA,DINARA ROAD INDUSTRIAL AREA, DATIA MP",475661.0,WEST,MADHYA PRADESH,DATIA,ACTIVE,,0,,,,,Good,Good
4245,WST-MP-2859,BAL MAHILA VIKAS SAMITI ,"VILLAGE & POST GANDHARI NH-75, JHANSI ROAD, DATIA - 475661 MP
",475661.0,WEST,MADHYA PRADESH,DATIA,ACTIVE,,0,,,"PC Changed(2), Power Related(5)",,Average,"PC Changed(2), Power Related(5)"
4246,WST-MP-2106,GYANODAYA INSTITUTE OF PROFFESSIONAL STUDIRES,"300/2 , MENDKI CHAK ROAD , DEWAS",455001.0,WEST,MADHYA PRADESH,DEWAS,ACTIVE,,0,,,"PC Changed(3), Power Related(35)",Doubtful (Reviews < 10),Average,"PC Changed(3), Power Related(35)"
4247,WST-MP-2860,THE LICHENS ACADEMY-DEWAS,"23, SAKET NAGAR, NEAR SACRED HEART SCHOOL, BEHIND GAYATRI SHAKTI PEETH DEWAS(M.P.)-455001
",455001.0,WEST,MADHYA PRADESH,DEWAS,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
4248,WST-MP-2892,GOVERNMENT ITI DEWAS,"VIKAS NAGAR SQUARE, GOMTI NAGAR, DEWAS, MADHYA PRDEWA",455001.0,WEST,MADHYA PRADESH,DEWAS,ACTIVE,,0,,,,,Good,Good
4249,WST-MP-2401,SHUKLA SOFTECH,"BAKTAWAR MARG, DHAR",454001.0,WEST,MADHYA PRADESH,DHAR,ACTIVE,,0,,,,,Good,Good
4250,WST-MP-2533,GOVERNMENT ITI DHAR,"INDUSTRIAL TRAINING INSTITUTE, NEAR INDORE NAKA DHAR (M.P.)",454001.0,WEST,MADHYA PRADESH,DHAR,ACTIVE,,0,,,Power Related(4),,Average,Power Related(4)
4251,WST-MP-2389,GOVERNMENT ITI DINDORI,"SAMNAPUR BYPASS ROAD, NEAR BIRSA MUNDA GRAM, DINDORI",481880.0,WEST,MADHYA PRADESH,DINDORI,ACTIVE,,0,,,"PC Changed(5), Power Related(8)",,Average,"PC Changed(5), Power Related(8)"
4252,WST-MP-2107,GRAFIX INSTITUTE,PATRAKAR COLONY,473001.0,WEST,MADHYA PRADESH,GUNA,ACTIVE,,0,,,"PC Changed(9), Power Related(19)",Doubtful (Reviews < 10),Average,"PC Changed(9), Power Related(19)"
4253,WST-MP-2108,SAKSHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"SOMYA PREMISES, AB RAOD , MYANA GUNA,",473001.0,WEST,MADHYA PRADESH,GUNA,INACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
4254,WST-MP-2109,AMAR BHARTIYA ONLINE CENTRE,"DHANELI , BADAGAON ROAD, MORAR GWALIOR",474006.0,WEST,MADHYA PRADESH,GWALIOR,ACTIVE,,0,,,Power Related(9),Doubtful (Reviews < 10),Average,Power Related(9)
4255,WST-MP-2111,BHARTIYA VIDYA MANDIR COLLEGE OF MANAGEMENT EDUCATION (BVM COLLEGE),"YAMUNA NAGAR, DARPAN COLONY, THATIPUR, GWALIOR, - MADHYA PRADESH",474011.0,WEST,MADHYA PRADESH,GWALIOR,ACTIVE,,0,,,"Candidate Debarred(1), PC Changed(1), Power Related(9)",Doubtful (Reviews < 10),Average,"Candidate Debarred(1), PC Changed(1), Power Related(9)"
4256,WST-MP-2113,GWALIOR ENGNEERING COLLEGE,"AIRPORT ROAD, MAHARAJPURA GWALIOR",474005.0,WEST,MADHYA PRADESH,GWALIOR,INACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4257,WST-MP-2117,LAKSHMI NARAIN COLLEGE OF TECHNOLOGY & SCIENCE (LNCTS),"GRAM RATWAI, CHITORA ROAD, GWALIOR MADHYA PRADESH",474006.0,WEST,MADHYA PRADESH,GWALIOR,INACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4258,WST-MP-2119,MALWA INSTITUTE OF TECHNOLOY & MANAGEMENT,"NH-75, SIKRODA, BADORI, JHANSI ROAD",475001.0,WEST,MADHYA PRADESH,GWALIOR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4259,WST-MP-2120,NAGAJI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"THAKUR BABA CAMPUS, JHANSI ROAD SITHOLI , GWALIOR",474001.0,WEST,MADHYA PRADESH,GWALIOR,ACTIVE,,0,,,Power Related(3),Doubtful (Reviews < 10),Average,Power Related(3)
4260,WST-MP-2556,SHRI VAISHNAV INSTITUTE OF TECHNOLOGY & MANAGEMENT (SVITM COLLEGE),"A.B ROAD, BEHIND CNG PETROL PUMP, NIRAWALI",476001.0,WEST,MADHYA PRADESH,GWALIOR,INACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
4261,WST-MP-2558,BRIGHT SKILL DEVELOPMENT INSTITUTE,"BRIGHT NURSING COLLEGE , BARUA, NEAR ESSAR PETROL PUMP, GWALIOR(M.P)",474010.0,WEST,MADHYA PRADESH,GWALIOR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4262,WST-MP-2565,GRANTHAM INFOTECH,"MODI KHERIA, MAUH ROAD, BADAGAON, GWALIOR MP",474006.0,WEST,MADHYA PRADESH,GWALIOR,INACTIVE,,0,,,,,Good,Good
4263,WST-MP-2574,ARYANSH COLLEGE,"DHANELI TIRAHA, CHOTORA ROAD, BADAGAON, MORAR GWALIOR",474006.0,WEST,MADHYA PRADESH,GWALIOR,ACTIVE,,0,,,"PC Changed(1), Power Related(35)",Doubtful (Reviews < 10),Average,"PC Changed(1), Power Related(35)"
4264,WST-MP-2797,SRS SHIKSHA PRASAR SAMITI CAMPUS,"SRS SHIKSHA PRASAR SAMITI CAMPUS,BHADAVNA ROAD, GRAM-UTILA, MORAR, CITY-GWALIOR-474006",474006.0,WEST,MADHYA PRADESH,GWALIOR,ACTIVE,,0,,,"PC Changed(10), Power Related(20)",,Average,"PC Changed(10), Power Related(20)"
4265,WST-MP-2861,GOVERNMENT DIVISIONAL ITI GWALIOR,"BIRLA NAGAR ROAD, RVS AGRICULTURE UNIVERSITY CAMPUS, NARAYAN VIHAR Â€“ 474005 (MP)
",474005.0,WEST,MADHYA PRADESH,GWALIOR,ACTIVE,,0,,,"PC Changed(2), Power Related(18)",,Average,"PC Changed(2), Power Related(18)"
4266,WST-MP-2382,GOVERNMENT ITI HARDA,"NEAR HP PATROL PUMP, KHANDWA ROAD, HARDA",461331.0,WEST,MADHYA PRADESH,HARDA,ACTIVE,,0,,,Power Related(2),,Average,Power Related(2)
4267,WST-MP-2124,ARIHANT COLLEGE,"453, KHANDWA ROAD , , KHANDWA ROAD , INDORE - MADHYA PRADESH",452001.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4268,WST-MP-2125,AURVINDO INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY,"SAIMS CAMPUS, INDORE-UJJAIN HIGHWAY, NEAR MR-10 CROSSING,INDORE, MP",453111.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
4269,WST-MP-2126,IPS DIGITAL CENTRE,"KNOWLEDGE VILLAGE , BLOCK - 'D' , ABOVE PLACEMENT CELL , A.B. ROAD , RAJENDRA NAGAR , INDORE MADHYA PRADESH",452012.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
4270,WST-MP-2127,ISLAMIA INSTITUTE OF COMPUTER SCIENCE & MANAGEMENT,"2/2 OLD PALASIA , ST. UMAR SCHOOL CAMPUS , OPP. GREATER KAILASH HOSPITAL , INDORE",452001.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,,Good,Good
4271,WST-MP-2128,ISLAMIA KARIMIA COLLEGE,"2/2 OLD PALASIYA , NEAR SHASHKIYA KALYANMAL NURSING HOME , OPPOSITE GREATER KAILASH HOSPITAL , INDORE",452001.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,"PC Changed(4), Power Related(2)",Doubtful (Reviews < 10),Average,"PC Changed(4), Power Related(2)"
4272,WST-MP-2130,LAKSHMI NARAIN COLLEGE OF TECHNOLOGY,"BHAWRASLA, BEHIND SAIMS HOSPITAL. SANWER ROAD .INDORE, MADHYA PRADESH",453331.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4273,WST-MP-2131,MAHARAJA RANJIT SINGH GROUP OF INSTITUTION,"HEMKUNT CAMPUS , NEAR IET- DAVV , KHANDWA ROAD , INDORE",452001.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,"PC Changed(7), Power Related(2)",Doubtful (Reviews < 10),Average,"PC Changed(7), Power Related(2)"
4274,WST-MP-2132,MASIHI KANYA VIDHYALAY,"9, BOUNDARY ROAD, OPP. TO ST. PAUL H.S.S.,RED CHURCH COLONY , INDORE, MADHYA PRADESH",452001.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,1,,,"PC Changed(5), Power Related(5)",,Sensitive Venue,Found in FFA
4275,WST-MP-2133,ORIENTAL UNIVERSITY,"GATE NO.1, SANWER RD, OPPOSITE REVATI RANGE, JAKHYA, INDORE, MADHYA PRADESH",453555.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4276,WST-MP-2134,ORLANDO ACADEMY,"20-21 PRESS COMPLEX, 1ST FLOOR, BEHIND DAINIK BHASKAR, A.B. ROAD, INDORE (M.P)",452001.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,"D Mapping(2), PC Changed(9), Power Related(18)",Doubtful (Reviews < 10),Average,"D Mapping(2), PC Changed(9), Power Related(18)"
4277,WST-MP-2135,"PRESTIGE INSTITUTE OF MANAGEMENT & RESEARCH , INDORE","SCHEME NO.74 , SEC.- D , VIJAY NAGAR - INDORE",452010.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
4278,WST-MP-2136,SAGE UNIVERSITY-(MAIN BUILDING),"BLOCK - F , KAILOD KARTAL , INDORE-DEWAS BY-PASS ROAD , INDORE -MADHYA PRADESH",452020.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,"PC Changed(5), Power Related(7)",Doubtful (Reviews < 10),Average,"PC Changed(5), Power Related(7)"
4279,WST-MP-2140,SHRI RGP GUJRATI PROFESSIONAL INSTITUTE,"SCHEME NO 54, AB RD, NEAR BOMBAY HOSPITAL, VIJAY NAGAR, INDORE, MADHYA PRADESH",452010.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,Power Related(1),Doubtful (Reviews < 10),Average,Power Related(1)
4280,WST-MP-2141,SHRI VAISHNAV POLYTECHNIC COLLEGE,"MHOW NAKA CIRCLE, BESIDE SBI BANK, MOG LINES ROAD, INDORE, MP",452002.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
4281,WST-MP-2142,SYMBIOSIS UNIVERSITY OF APPLIED SCIENCE,"BADA BANGADA , SUPER CORRIDOR , NEAR AIRPORT , INDORE",453112.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,"PC Changed(1), Power Related(1)",Doubtful (Reviews < 10),Average,"PC Changed(1), Power Related(1)"
4282,WST-MP-2143,VISHISHT SCHOOL OF MANAGEMENT,"65/5, R S SHUKLA MARG, POLOGROUND, INDORE, MADHYA PRADESH",452003.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,"PC Changed(32), Power Related(1)",Doubtful (Reviews < 10),Average,"PC Changed(32), Power Related(1)"
4283,WST-MP-2252,LAKSHMI NARAIN COLLEGE OF TECHNOLOGY AND SCIENCE,"UJJAIN - INDORE RD, BHAWRASLA, INDORE, MADHYA PRADESH",453555.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4284,WST-MP-2566,PLEXUS IT SYSTEM INDIA PVT. LTD.,"MANGAL COMPOUND , PIPLIYA KUMAR , NIPANIYA ROAD , NEAR METRO WHOLESALE MARKET , DEWAS NAKA , INDORE",452010.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4285,WST-MP-2570,I.A.T.V. EDUCATIONAL ACADEMY,"IN FRONT OF ENERGY HOSPITAL , DEVGURADIYA , NEMAWAR ROAD,INDORE",452016.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,,Good,Good
4286,WST-MP-2571,CHAMELI DEVI GROUP OF INSTITUTIONS,"KHANDWA ROAD, VILLAGE UMRIKHEDA, NEAR TOLL BOOTH, INDORE, MADHYA PRADESH",452020.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4287,WST-MP-2572,SWAMI VIVEKANAND COLLEGE OF ENGINEERING,"KHANDWA ROAD,NEAR TOLNAKA,VIVEKANAND KNOWLEDGE CITY,INDORE,MADHYA PRADESH",452020.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
4288,WST-MP-2573,IPS ACADEMY - INSTITUTE OF BUSINESS MANAGEMENT AND RESEARCH - IBMR‚ BLOCK,"KNOWLEDGE VILLAGE, RAJENDRA NAGAR , A.B ROAD, INDORE, MADHYA PRADESH",452012.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
4289,WST-MP-2576,K.K.VIGYAN AVAM VYAVSAIK ADHYAYAN MAHAVIDYALAYA,"PLOT NO. 37 , SECTOR E SCHEME NO.54, VIJAY NAGAR, INDORE, MADHYA PRADESH",452010.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4290,WST-MP-2577,GOVERNMENT HOLKAR SCIENCE COLLEGE,"AB RD, NEAR BHAWARKUA SQUARE, INDORE, MADHYA PRADESH",452001.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,"PC Changed(2), Power Related(1)",,Average,"PC Changed(2), Power Related(1)"
4291,WST-MP-2602,MB KHALSA COLLEGE,"RAJ MOHALLA SQUARE, NEAR GANWAL BUS STAND, INDORE, MADHYA PRADESH",452002.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,"PC Changed(6), Power Related(3)",Doubtful (Reviews < 10),Average,"PC Changed(6), Power Related(3)"
4292,WST-MP-2810,SHRI GURU GOBIND SINGH COMPUTER CENTRE,"7, KHANDWA ROAD, NEAR SBI IET BRANCH, INDORE-452001",452001.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,PC Changed(4),Good (Rating >=4 & Reviews >=10),Average,PC Changed(4)
4293,WST-MP-2862,GOVERNMENT ITI INDORE,"GOVERNMENT ITI INDORE, NANDA NAGAR INDORE (M.P.) 452011 
",452001.0,WEST,MADHYA PRADESH,INDORE,ACTIVE,,0,,,,,Good,Good
4294,WST-MP-2146,HITKARINI COLLEGE OF ENGINEERING AND TECHNOLOGY,"HITKARINI HILLS, AIRPORT ROAD, HITKARINI DENTAL COLLEGE AND HOSPITAL, JABALPUR, MADHYA PRADESH",482005.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4295,WST-MP-2147,LAKSHMI NARAIN COLLEGE OF TECHNOLOGY,"NH-12, NEAR BHEDAGHAT CHOWK, JABALPUR, MADHYA PRADESH",482053.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,2,,,"D Mapping(14), PC Changed(29), Power Related(38), SPS Node(1), Venue Payment Related Issue(2)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
4296,WST-MP-2148,LAXMI BAI SAHU JI INSTITUTE OF ENGINEERING AND TECHNOLOGY-1,"PATAN ROAD BENIKHEDA JABALPUR, MADHYA PRADESH",482003.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4297,WST-MP-2149,LAXMI BAI SAHU JI INSTITUTE OF ENGINEERING AND TECHNOLOGY-2,"PATAN ROAD BENIKHEDA JABALPUR, MADHYA PRADESH",482003.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4298,WST-MP-2150,NACHIKETA INSTITUTE OF MANAGEMENT & INFORMATION TECHNOLOGY,"INFRONT OF POWREGRID, GRAM SUKHA, PATAN ROAD, ,JABALPUR, MADHYA PRADESH",482001.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,"PC Changed(4), Power Related(2)",Doubtful (Reviews < 10),Average,"PC Changed(4), Power Related(2)"
4299,WST-MP-2151,ORIENTAL INSTITUTE OF SCIENCE AND TECHNOLOGY,"KATNI-NAGPUR BYPASS ROAD,NEAR RAM CHANDRA MISSION ASHRAM,GRAM ANDHUA, JABALPUR, MADHYA PRADESH",482003.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4300,WST-MP-2152,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,"KOSHAM GHAT, BARELA ROAD, JABALPUR MADHYA PRADESH",483001.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4301,WST-MP-2153,SGBM INSTITUTE OF TECHNOLOGY AND SCIENCE,"BINEKI, PATAN ROAD, NH-12A, SUKHA, MADHYA PRADESH",482002.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4302,WST-MP-2154,SHRI RAM INSTITUTE OF SCIENCE AND TECHNOLOGY,SRIT CAMPUS NEAR ITI MADHOTAL_JABALPUR,482002.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4303,WST-MP-2155,SRI GURU TEGH BAHADUR KHALSA,"MAHANADDA, NAGPUR ROAD, JABALPUR, MADHYA PRADESH",482001.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4304,WST-MP-2254,VINDHYA INSTITUTE OF TECHNOLOGY & SCIENCE JABALPUR,"NEEMKHEDA MANDLA ROAD, JABALPUR",483001.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
4305,WST-MP-2557,MATA GUJRI MAHILA MAHAVIDHYALAYA,CIVIC CENTER MARHATAL JABALPUR,482001.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,"PC Changed(5), Power Related(2)",Doubtful (Reviews < 10),Average,"PC Changed(5), Power Related(2)"
4306,WST-MP-2863,GOVERNMENT DIVISIONAL ITI JABALPUR,"DAMOH ROAD, CHUNGI NAKA, MADHOTAL JABALPUR,482002
",482002.0,WEST,MADHYA PRADESH,JABALPUR,ACTIVE,,0,,,"PC Changed(1), Power Related(1)",Doubtful (Reviews < 10),Average,"PC Changed(1), Power Related(1)"
4307,WST-MP-2603,AJAX MEDICAL TRAINING & ONLINE EXAM CENTER,": PLOT. NO. F5/F6 IT PARK , BARGI HILLS, JABALPUR(MP)",482001.0,WEST,MADHYA PRADESH,JABAPUR,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
4308,WST-MP-2390,GOVERNMENT ITI JHABUA,"NH 59, INDORE AHMDABAD ROAD, NEAR ANAS RIVER, GADWADA, JHABUA",457661.0,WEST,MADHYA PRADESH,JHABUA,ACTIVE,,0,,,Power Related(4),,Average,Power Related(4)
4309,WST-MP-2384,GOVERNMENT ITI KATNI,"GOVERNMENT ITI KATNI ( BEHIND SKP COLONY ROSHAN NAGAR ,NKJ,KATNI)",483501.0,WEST,MADHYA PRADESH,KATNI,ACTIVE,,0,,,"PC Changed(8), Power Related(16)",,Average,"PC Changed(8), Power Related(16)"
4310,WST-MP-2388,CHANDERKANTA PVT. ITI KATNI,"DUBEY COLONY NEAR SHANI MANDIR, INFRONT OF VISHNUVED SCHOOL KATNI",483501.0,WEST,MADHYA PRADESH,KATNI,INACTIVE,,0,,,,,Good,Good
4311,WST-MP-2526,KITM SKILLS,"1ST FLOOR OF KAILASH TRANSPORT, AZAD CHOWK",483501.0,WEST,MADHYA PRADESH,KATNI,ACTIVE,,0,,,,,Good,Good
4312,WST-MP-2158,"PRATIBHA INSTITUTE OF MODERN STUDIES, KHANDWA",RCW COMPLEX OLD CEMENT GODOWN NEAR RAMESHWAR PULIYA ANAND NAGAR KHANDWA MP,450001.0,WEST,MADHYA PRADESH,KHANDWA,ACTIVE,,0,,,"PC Changed(5), Power Related(2)",Doubtful (Reviews < 10),Average,"PC Changed(5), Power Related(2)"
4313,WST-MP-2159,SHREE DADAJI INSTITUTE OF TECHNOLOGY & SCIENCE‚ KHANDWA,"SDITS-KHANDWA, VILLAGE-REHMAPUR, INDORE ROAD, KHANDWA (M.P)",450001.0,WEST,MADHYA PRADESH,KHANDWA,ACTIVE,,0,,,,,Good,Good
4314,WST-MP-2864,"GOVERNMENT INDUSTRIAL TRAINING INSTITUTE,KHANDWA","GOVERNMENT ITI,ANAND NAGAR,SIHADA ROAD,KHANDWA,MADHYA PRADESH  450001
",450001.0,WEST,MADHYA PRADESH,KHANDWA,ACTIVE,,0,,,,,Good,Good
4315,WST-MP-2160,"JAWAHARLAL INSTITUTE OF TECHNOLOGY, BORAWAN‚ KHARGONE","JIT VIDHYA VIHAR,BORAWAN, TEHSIL KASRAWAD, DIST. KHARGONE (M.P.)",452228.0,WEST,MADHYA PRADESH,KHARGONE,ACTIVE,,0,,,"PC Changed(2), Power Related(13)",Doubtful (Reviews < 10),Average,"PC Changed(2), Power Related(13)"
4316,WST-MP-2541,GENIOUS SYSTEM,"GENIOUS SYSTEM, VIVEKANAND COLONY, SANAWAD ROAD, KHARGONE, DISTRICT KHARGONEE (MP)",451001.0,WEST,MADHYA PRADESH,KHARGONE,INACTIVE,,0,,,Power Related(1),Doubtful (Reviews < 10),Average,Power Related(1)
4317,WST-MP-2161,NICE INSTITUTE OF COMPUTER EDUCATION,"192 TILAK WARD CIVIL LINE ,COLLECTRATE ROAD,MANDLA",481661.0,WEST,MADHYA PRADESH,MANDLA,ACTIVE,,0,,,"PC Changed(3), Power Related(12)",Doubtful (Reviews < 10),Average,"PC Changed(3), Power Related(12)"
4318,WST-MP-2865,GOVERNMENT ITI MANDLA,"DINDORI ROAD,RASAIYADONA,MANDLA-481661
",481661.0,WEST,MADHYA PRADESH,MANDLA,ACTIVE,,0,,,"PC Changed(2), Power Related(8)",,Average,"PC Changed(2), Power Related(8)"
4319,WST-MP-2162,MANDSAUR UNIVERSITY,"REWAS DEWDA ROAD, MANDSAUR, MADHYA PRADESH",458001.0,WEST,MADHYA PRADESH,MANDSAUR,ACTIVE,,0,,,"PC Changed(7), Power Related(8)",Doubtful (Reviews < 10),Average,"PC Changed(7), Power Related(8)"
4320,WST-MP-2163,ACCOUND WORLD,"MILL AREA ROAD, INFRONT OF MANSAROVAR PALACE, MORENA PIN",476001.0,WEST,MADHYA PRADESH,MORENA,INACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
4321,WST-MP-2164,BRM MAHAVIDHYALAYA,"MATA BASIYA ROAD JIGANI, MORENA",476001.0,WEST,MADHYA PRADESH,MORENA,INACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
4322,WST-MP-2255,GIPS INSTITUTE,IN FRONT OF GOVERNMENT. SCHOOL MAHATOLI,476444.0,WEST,MADHYA PRADESH,MORENA,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
